epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,198.777,0.78122,0.28786,0.61938,1.27202,0.99874,1,0.995,0.84777,0.99874,1,0.995,0.98447,0.68105,0.19502,0.66929,1.11599,0.0014456,0.0014456,0.0014456
30,205.707,0.70798,0.28858,0.57839,1.20033,0.86966,0.93827,0.97272,0.7579,0.86966,0.93827,0.97272,0.76845,0.86128,1.42485,0.96142,1.25331,0.0014258,0.0014258,0.0014258
31,212.704,0.72714,0.28199,0.60931,1.23668,0.99923,1,0.995,0.87517,0.99923,1,0.995,0.99188,0.53796,0.19209,0.41569,1.00182,0.001406,0.001406,0.001406
32,219.617,0.65981,0.26868,0.56901,1.18217,0.99921,1,0.995,0.88856,0.99921,1,0.995,0.99315,0.52565,0.20011,0.41854,0.98244,0.0013862,0.0013862,0.0013862
33,224.086,0.68869,0.27386,0.56495,1.17907,0.99923,1,0.995,0.88788,0.99923,1,0.995,0.995,0.56268,0.18073,0.38519,0.97919,0.0013664,0.0013664,0.0013664
34,230.916,0.65316,0.26356,0.52476,1.15381,0.99928,1,0.995,0.91066,0.99928,1,0.995,0.995,0.47156,0.18216,0.36762,0.94542,0.0013466,0.0013466,0.0013466
35,237.75,0.65801,0.25424,0.53825,1.15629,0.99928,1,0.995,0.87708,0.99928,1,0.995,0.97581,0.6496,0.25257,0.40619,1.04187,0.0013268,0.0013268,0.0013268
36,244.446,0.67901,0.2591,0.53666,1.18091,0.99898,1,0.995,0.83582,0.99898,1,0.995,0.98905,0.67444,0.17545,0.50617,1.08169,0.001307,0.001307,0.001307
37,251.191,0.6037,0.25841,0.49531,1.12,0.99923,1,0.995,0.91619,0.99923,1,0.995,0.99414,0.45375,0.189,0.34205,0.946,0.0012872,0.0012872,0.0012872
38,255.977,0.58661,0.24899,0.49124,1.10717,0.99923,1,0.995,0.91379,0.99923,1,0.995,0.99148,0.48256,0.18451,0.35565,0.94739,0.0012674,0.0012674,0.0012674
39,262.625,0.57198,0.25201,0.47672,1.0976,0.99927,1,0.995,0.91935,0.99927,1,0.995,0.99458,0.42957,0.1957,0.35134,0.91154,0.0012476,0.0012476,0.0012476
40,269.399,0.52443,0.23671,0.45394,1.07141,0.99935,1,0.995,0.85842,0.99935,1,0.995,0.99023,0.67193,0.20089,0.48117,1.03134,0.0012278,0.0012278,0.0012278
41,276.485,0.52395,0.23567,0.45609,1.0804,0.99918,1,0.995,0.93425,0.99918,1,0.995,0.99338,0.38714,0.17035,0.3795,0.91271,0.001208,0.001208,0.001208
42,282.548,0.50593,0.25295,0.43848,1.06173,0.99924,1,0.995,0.94774,0.99924,1,0.995,0.98089,0.38244,0.24405,0.34426,0.91256,0.0011882,0.0011882,0.0011882
43,290.2,0.51273,0.23911,0.43793,1.04907,0.99932,1,0.995,0.9352,0.99932,1,0.995,0.99449,0.39615,0.17622,0.33239,0.90145,0.0011684,0.0011684,0.0011684
44,297.088,0.52697,0.23339,0.42878,1.07261,0.40706,0.39506,0.28816,0.06659,0.40706,0.39506,0.28107,0.10678,2.22404,3.9876,4.49149,3.17536,0.0011486,0.0011486,0.0011486
45,304.327,0.55232,0.25422,0.44833,1.08205,1,1,0.995,0.95011,1,1,0.995,0.99407,0.37639,0.17264,0.32572,0.88673,0.0011288,0.0011288,0.0011288
46,311.584,0.51386,0.24163,0.42718,1.05565,0.99595,1,0.995,0.67502,0.99595,1,0.995,0.78072,0.76703,1.13447,0.59188,1.10564,0.001109,0.001109,0.001109
47,316.461,0.51287,0.23438,0.41664,1.05253,0.99924,1,0.995,0.93993,0.99924,1,0.995,0.99387,0.38963,0.20718,0.33345,0.90009,0.0010892,0.0010892,0.0010892
48,323.39,0.49936,0.23662,0.41132,1.04635,0.99923,1,0.995,0.95828,0.99923,1,0.995,0.995,0.33621,0.16849,0.31299,0.88645,0.0010694,0.0010694,0.0010694
49,330.417,0.48534,0.23292,0.40434,1.0363,0.99933,1,0.995,0.94531,0.99933,1,0.995,0.995,0.41613,0.16224,0.33914,0.90042,0.0010496,0.0010496,0.0010496
50,337.398,0.48913,0.23185,0.40624,1.0281,0.9992,1,0.995,0.94099,0.9992,1,0.995,0.995,0.35706,0.17184,0.34119,0.89405,0.0010298,0.0010298,0.0010298
51,341.909,0.46971,0.23132,0.40552,1.0299,0.99933,1,0.995,0.94717,0.99933,1,0.995,0.995,0.38049,0.16984,0.35625,0.89261,0.00101,0.00101,0.00101
52,348.722,0.49627,0.23933,0.40806,1.04163,0.99933,1,0.995,0.94492,0.99933,1,0.995,0.99357,0.34198,0.16422,0.29086,0.86709,0.0009902,0.0009902,0.0009902
53,355.301,0.45149,0.21538,0.40186,1.02376,0.99927,1,0.995,0.96206,0.99927,1,0.995,0.995,0.30949,0.15677,0.28928,0.86344,0.0009704,0.0009704,0.0009704
54,362.062,0.45707,0.2367,0.3872,1.00746,1,1,0.995,0.94719,1,1,0.995,0.99389,0.37586,0.19152,0.2973,0.87395,0.0009506,0.0009506,0.0009506
55,368.559,0.45209,0.23633,0.37949,1.00089,0.99931,1,0.995,0.93292,0.99931,1,0.995,0.99362,0.39601,0.15709,0.30273,0.89227,0.0009308,0.0009308,0.0009308
56,373.084,0.44097,0.21154,0.37933,1.01585,0.99929,1,0.995,0.94467,0.99929,1,0.995,0.995,0.3652,0.15573,0.28458,0.88772,0.000911,0.000911,0.000911
57,379.971,0.42796,0.22296,0.37335,0.99401,0.99931,1,0.995,0.94211,0.99931,1,0.995,0.995,0.35571,0.18186,0.27695,0.88363,0.0008912,0.0008912,0.0008912
58,386.475,0.45742,0.22012,0.38226,1.0191,0.99936,0.69136,0.8526,0.56842,0.99936,0.69136,0.8544,0.61594,0.93111,1.8423,0.93025,1.24455,0.0008714,0.0008714,0.0008714
59,393.187,0.41111,0.21674,0.35874,0.99284,0.99928,1,0.995,0.9695,0.99928,1,0.995,0.995,0.3262,0.15341,0.29182,0.86732,0.0008516,0.0008516,0.0008516
60,400.09,0.45773,0.21999,0.38243,1.00931,0.99917,1,0.995,0.87562,0.99917,1,0.995,0.90073,0.48953,0.78275,0.35285,0.93371,0.0008318,0.0008318,0.0008318
61,404.662,0.41804,0.21123,0.35944,0.9917,1,1,0.995,0.96685,1,1,0.995,0.995,0.31012,0.1713,0.26003,0.85125,0.000812,0.000812,0.000812
62,411.44,0.40767,0.20338,0.35462,0.98398,0.99929,1,0.995,0.96735,0.99929,1,0.995,0.98934,0.30185,0.18037,0.27991,0.85491,0.0007922,0.0007922,0.0007922
63,418.236,0.39141,0.20496,0.33941,0.96339,1,1,0.995,0.9625,1,1,0.995,0.995,0.3128,0.16662,0.28335,0.85195,0.0007724,0.0007724,0.0007724
64,425.002,0.38934,0.20377,0.34859,0.96973,0.99929,1,0.995,0.95413,0.99929,1,0.995,0.94531,0.3263,0.49119,0.26104,0.87282,0.0007526,0.0007526,0.0007526
65,431.728,0.4188,0.21312,0.36298,1.00001,0.99933,1,0.995,0.95703,0.99933,1,0.995,0.995,0.30942,0.16038,0.25175,0.85552,0.0007328,0.0007328,0.0007328
66,436.354,0.38782,0.20683,0.33574,0.96995,0.99931,1,0.995,0.9697,0.99931,1,0.995,0.995,0.27697,0.1581,0.23551,0.84627,0.000713,0.000713,0.000713
67,443.234,0.38195,0.21076,0.32746,0.97233,1,1,0.995,0.96005,1,1,0.995,0.995,0.35353,0.16147,0.26524,0.86922,0.0006932,0.0006932,0.0006932
68,449.918,0.35322,0.20437,0.31751,0.95526,0.99932,1,0.995,0.96129,0.99932,1,0.995,0.96063,0.324,0.32871,0.2695,0.8624,0.0006734,0.0006734,0.0006734
69,456.701,0.35154,0.20605,0.31766,0.95781,0.99916,1,0.995,0.96835,0.99916,1,0.995,0.995,0.30324,0.15942,0.25807,0.8472,0.0006536,0.0006536,0.0006536
70,463.667,0.3665,0.20959,0.32573,0.96966,0.99933,1,0.995,0.97822,0.99933,1,0.995,0.995,0.24508,0.15712,0.25357,0.82553,0.0006338,0.0006338,0.0006338
71,468.214,0.3625,0.20578,0.32433,0.96293,0.9993,1,0.995,0.97407,0.9993,1,0.995,0.995,0.29842,0.16749,0.25842,0.85388,0.000614,0.000614,0.000614
72,475.047,0.3684,0.20421,0.32764,0.95787,0.99931,1,0.995,0.98213,0.99931,1,0.995,0.995,0.25815,0.15064,0.24282,0.83175,0.0005942,0.0005942,0.0005942
73,481.799,0.36004,0.19913,0.31604,0.95575,0.99932,1,0.995,0.9759,0.99932,1,0.995,0.995,0.28993,0.15652,0.23592,0.83451,0.0005744,0.0005744,0.0005744
74,488.369,0.37054,0.20442,0.31782,0.95525,0.99934,1,0.995,0.97816,0.99934,1,0.995,0.995,0.27824,0.16427,0.23589,0.83345,0.0005546,0.0005546,0.0005546
75,493.033,0.36435,0.21258,0.3185,0.95976,0.99933,1,0.995,0.99148,0.99933,1,0.995,0.995,0.22579,0.15277,0.21578,0.81813,0.0005348,0.0005348,0.0005348
76,499.731,0.33865,0.20411,0.31119,0.94995,1,1,0.995,0.99244,1,1,0.995,0.995,0.2305,0.15373,0.20899,0.82099,0.000515,0.000515,0.000515
77,506.443,0.33971,0.19714,0.30898,0.96335,1,1,0.995,0.9775,1,1,0.995,0.995,0.24004,0.15164,0.21806,0.82073,0.0004952,0.0004952,0.0004952
78,513.276,0.339,0.19964,0.30593,0.93902,1,1,0.995,0.99138,1,1,0.995,0.995,0.2407,0.15489,0.21041,0.82515,0.0004754,0.0004754,0.0004754
79,520.046,0.34299,0.20565,0.31009,0.94144,1,1,0.995,0.98185,1,1,0.995,0.99215,0.23425,0.18413,0.22344,0.83111,0.0004556,0.0004556,0.0004556
80,524.826,0.33158,0.2,0.29541,0.9355,0.99932,1,0.995,0.99006,0.99932,1,0.995,0.995,0.21894,0.15274,0.21088,0.81572,0.0004358,0.0004358,0.0004358
81,531.668,0.30833,0.18944,0.28704,0.93944,1,1,0.995,0.995,1,1,0.995,0.995,0.22688,0.15168,0.21383,0.82612,0.000416,0.000416,0.000416
82,538.764,0.33539,0.20598,0.30513,0.94226,1,1,0.995,0.99246,1,1,0.995,0.995,0.22176,0.15811,0.21286,0.82095,0.0003962,0.0003962,0.0003962
83,545.971,0.34435,0.19552,0.3039,0.96038,1,1,0.995,0.9929,1,1,0.995,0.995,0.21646,0.1509,0.20886,0.82183,0.0003764,0.0003764,0.0003764
84,552.923,0.31848,0.18573,0.2948,0.95038,0.99932,1,0.995,0.995,0.99932,1,0.995,0.995,0.21151,0.1529,0.20297,0.81651,0.0003566,0.0003566,0.0003566
85,557.788,0.29081,0.1812,0.2716,0.91748,1,1,0.995,0.995,1,1,0.995,0.995,0.21508,0.15152,0.19779,0.81232,0.0003368,0.0003368,0.0003368
86,564.764,0.34331,0.18823,0.3079,0.95241,0.99934,1,0.995,0.99187,0.99934,1,0.995,0.995,0.24989,0.15536,0.23125,0.81943,0.000317,0.000317,0.000317
87,571.685,0.31315,0.20511,0.29021,0.94016,1,1,0.995,0.995,1,1,0.995,0.995,0.20596,0.14831,0.19602,0.80958,0.0002972,0.0002972,0.0002972
88,578.437,0.32175,0.18888,0.28852,0.94209,1,1,0.995,0.9938,1,1,0.995,0.995,0.19169,0.15737,0.18676,0.80614,0.0002774,0.0002774,0.0002774
89,583.15,0.29864,0.20105,0.28009,0.93539,1,1,0.995,0.99388,1,1,0.995,0.995,0.20893,0.1512,0.18589,0.80938,0.0002576,0.0002576,0.0002576
90,589.932,0.28886,0.19167,0.26928,0.91394,1,1,0.995,0.99211,1,1,0.995,0.995,0.20465,0.15107,0.19121,0.81366,0.0002378,0.0002378,0.0002378
91,599.106,0.26342,0.15766,0.27736,0.88017,0.9993,1,0.995,0.99093,0.9993,1,0.995,0.995,0.24947,0.15468,0.24415,0.82043,0.000218,0.000218,0.000218
92,607.297,0.25362,0.15985,0.26162,0.86459,1,1,0.995,0.98639,1,1,0.995,0.995,0.21218,0.14908,0.20738,0.80451,0.0001982,0.0001982,0.0001982
93,613.51,0.23696,0.15114,0.25759,0.86065,1,1,0.995,0.99184,1,1,0.995,0.995,0.23017,0.14885,0.22232,0.80856,0.0001784,0.0001784,0.0001784
94,621.48,0.22554,0.14865,0.24787,0.86772,1,1,0.995,0.99316,1,1,0.995,0.995,0.20874,0.15142,0.20784,0.80091,0.0001586,0.0001586,0.0001586
95,630.876,0.21727,0.1488,0.23835,0.8513,0.99932,1,0.995,0.99425,0.99932,1,0.995,0.995,0.20584,0.14785,0.1949,0.7982,0.0001388,0.0001388,0.0001388
96,638.064,0.21378,0.14986,0.23308,0.86492,1,1,0.995,0.99424,1,1,0.995,0.995,0.20301,0.14997,0.18739,0.79844,0.000119,0.000119,0.000119
97,643.517,0.20734,0.14948,0.22302,0.85005,1,1,0.995,0.995,1,1,0.995,0.995,0.19171,0.15054,0.18178,0.79573,9.92e-05,9.92e-05,9.92e-05
98,650.381,0.20374,0.1505,0.22363,0.85716,1,1,0.995,0.995,1,1,0.995,0.995,0.1964,0.14917,0.18511,0.79715,7.94e-05,7.94e-05,7.94e-05
99,657.22,0.18297,0.14585,0.21332,0.84137,1,1,0.995,0.99418,1,1,0.995,0.995,0.19372,0.14909,0.17763,0.7981,5.96e-05,5.96e-05,5.96e-05
100,664.223,0.19279,0.15004,0.21728,0.85739,1,1,0.995,0.995,1,1,0.995,0.995,0.18955,0.14777,0.17683,0.79816,3.98e-05,3.98e-05,3.98e-05
